score_ratio,subject,learning_goal,difficulty
0.57,Python,Academic Learning,Intermediate
0.64,Java,Interview Preparation,Intermediate
0.63,Java,Interview Preparation,Intermediate
0.54,Java,Interview Preparation,Intermediate
0.63,JavaScript,Academic Learning,Intermediate
0.5,C++,Competitive Programming,Beginner
0.72,C,Interview Preparation,Intermediate
0.43,Python,Interview Preparation,Beginner
0.25,PHP,Interview Preparation,Beginner
0.76,PHP,Competitive Programming,Intermediate
0.53,MySQL,Interview Preparation,Intermediate
0.66,Java,Competitive Programming,Intermediate
0.79,JavaScript,Competitive Programming,Intermediate
0.73,MySQL,Academic Learning,Intermediate
0.7,C,Academic Learning,Intermediate
0.81,C,Interview Preparation,Advanced
0.61,React.js,Competitive Programming,Intermediate
0.89,C,Interview Preparation,Advanced
0.56,React.js,Academic Learning,Intermediate
0.95,C++,Academic Learning,Advanced
0.55,React.js,Academic Learning,Intermediate
0.28,C++,Academic Learning,Beginner
0.56,React.js,Competitive Programming,Intermediate
0.7,Java,Interview Preparation,Intermediate
0.38,C,Interview Preparation,Beginner
0.87,MySQL,Academic Learning,Advanced
0.39,MySQL,Interview Preparation,Beginner
0.5,C++,Academic Learning,Beginner
0.72,C++,Academic Learning,Intermediate
0.93,PHP,Interview Preparation,Advanced
0.94,C,Interview Preparation,Advanced
0.45,C++,Interview Preparation,Beginner
0.36,JavaScript,Competitive Programming,Beginner
0.69,C,Interview Preparation,Intermediate
0.34,JavaScript,Academic Learning,Beginner
0.95,MySQL,Competitive Programming,Advanced
0.25,C,Interview Preparation,Beginner
0.91,C++,Interview Preparation,Advanced
0.22,C++,Interview Preparation,Beginner
0.54,JavaScript,Competitive Programming,Intermediate
0.76,JavaScript,Academic Learning,Intermediate
0.74,Python,Interview Preparation,Intermediate
0.6,C,Academic Learning,Intermediate
0.37,C,Competitive Programming,Beginner
0.32,MySQL,Academic Learning,Beginner
0.3,React.js,Interview Preparation,Beginner
0.84,Java,Academic Learning,Advanced
0.27,Java,Competitive Programming,Beginner
0.64,MySQL,Interview Preparation,Intermediate
0.43,C,Competitive Programming,Beginner
0.3,PHP,Interview Preparation,Beginner
0.28,PHP,Competitive Programming,Beginner
0.64,C,Competitive Programming,Intermediate
0.89,C,Interview Preparation,Advanced
0.64,MySQL,Competitive Programming,Intermediate
0.85,Java,Competitive Programming,Advanced
0.87,C++,Academic Learning,Advanced
0.41,C++,Interview Preparation,Beginner
0.63,Java,Interview Preparation,Intermediate
0.57,PHP,Interview Preparation,Intermediate
0.6,C++,Academic Learning,Intermediate
0.46,MySQL,Competitive Programming,Beginner
0.94,Python,Competitive Programming,Advanced
0.56,C++,Interview Preparation,Intermediate
0.64,JavaScript,Academic Learning,Intermediate
0.28,PHP,Competitive Programming,Beginner
0.78,MySQL,Competitive Programming,Intermediate
0.81,React.js,Interview Preparation,Advanced
0.86,JavaScript,Interview Preparation,Advanced
0.68,C++,Interview Preparation,Intermediate
0.75,C,Academic Learning,Intermediate
0.52,Java,Competitive Programming,Intermediate
0.38,Java,Competitive Programming,Beginner
0.84,Java,Academic Learning,Advanced
0.88,C++,Interview Preparation,Advanced
0.3,C,Competitive Programming,Beginner
0.95,Java,Competitive Programming,Advanced
0.56,C++,Academic Learning,Intermediate
0.72,C,Interview Preparation,Intermediate
0.54,PHP,Interview Preparation,Intermediate
0.26,Python,Academic Learning,Beginner
0.3,Java,Interview Preparation,Beginner
0.39,React.js,Competitive Programming,Beginner
0.32,MySQL,Competitive Programming,Beginner
0.43,C,Academic Learning,Beginner
0.21,PHP,Competitive Programming,Beginner
0.36,PHP,Interview Preparation,Beginner
0.55,C++,Competitive Programming,Intermediate
0.63,JavaScript,Competitive Programming,Intermediate
0.72,MySQL,Academic Learning,Intermediate
0.92,Java,Interview Preparation,Advanced
0.63,React.js,Academic Learning,Intermediate
0.61,React.js,Competitive Programming,Intermediate
0.64,C++,Competitive Programming,Intermediate
0.63,Python,Competitive Programming,Intermediate
0.5,MySQL,Academic Learning,Beginner
0.28,MySQL,Competitive Programming,Beginner
0.9,Python,Competitive Programming,Advanced
0.8,JavaScript,Academic Learning,Intermediate
0.44,JavaScript,Academic Learning,Beginner
0.79,C,Interview Preparation,Intermediate
0.85,Python,Interview Preparation,Advanced
0.56,React.js,Academic Learning,Intermediate
0.54,PHP,Academic Learning,Intermediate
0.31,React.js,Interview Preparation,Beginner
0.81,Java,Interview Preparation,Advanced
0.36,PHP,Competitive Programming,Beginner
0.65,C,Interview Preparation,Intermediate
0.34,PHP,Competitive Programming,Beginner
0.84,C,Competitive Programming,Advanced
0.52,C,Competitive Programming,Intermediate
0.93,Python,Academic Learning,Advanced
0.56,Python,Competitive Programming,Intermediate
0.81,PHP,Competitive Programming,Advanced
0.46,Java,Academic Learning,Beginner
0.61,React.js,Academic Learning,Intermediate
0.59,React.js,Competitive Programming,Intermediate
0.93,MySQL,Interview Preparation,Advanced
0.84,C,Competitive Programming,Advanced
0.27,JavaScript,Competitive Programming,Beginner
0.29,PHP,Interview Preparation,Beginner
0.45,Java,Academic Learning,Beginner
